name
 Barbara Bel Geddes
 Jack Palance
 Machiko Kyô
 Masayuki Mori
Lloyd Bridges
 Osa Massen
 John Emery
 Noah Beery Jr.
 Richard Todd
 Eddie Bracken
 Gloria Swanson
 Nancy Olson
Bobby Driscoll
 Basil Sydney
 Walter Fitzgerald
 Bert Freed
 Nancy Guild
 Arthur Franz
 Robert Morley
 Peter Bull
Kathryn Beaumont
 Ed Wynn
 Richard Haydn
 Leslie Caron
 Oscar Levant
 Georges Guétary
Setsuko Hara
 Chishû Ryû
 Chikage Awashima
 Kuniko Miyake
Kirk Douglas
 Jan Sterling
 Robert Arthur
 Robert Beatty
 Moultrie Kelsall
Michael Rennie
 Patricia Neal
 Zero Mostel
 Ted de Corsia
 Selena Royle
Georges Poujouly
 Brigitte Fossey
 Amédée
 Laurence Badie
 Ward Bond
 Charles Kemper
Doris Day
 Gordon MacRae
 Jack Smith
 Leon Ames
 Nigel Patrick
 Sheila Sim
 Finlay Currie
Montgomery Clift
 Jane Powell
 Sarah Churchill
Alberto Sordi
 Brunella Bovo
 Leopoldo Trieste
 Giulietta Masina
Alastair Sim
 Kathleen Harrison
 Mervyn Johns
 Hermione Baddeley
Kathryn Grayson
 Howard Keel
 Joe E. Brown
Farley Granger
 Ruth Roman
 Marlon Brando
 Karl Malden
George Reeves
 Phyllis Coates
 Jeff Corey
 Walter Reed
Margaret Sheridan
 Kenneth Tobey
 Robert Cornthwaite
 Douglas Spencer
 Dick Powell
 Eve Miller
 Patrice Wymore
 Jennifer Jones
 Eddie Albert
 Marilyn Monroe
 Nick Cravat
 Eva Bartok
 Torin Thatcher
 Charlton Heston
 Zizi Jeanmaire
 Joseph Walsh
 Katy Jurado
 Shin'ichi Himori
 Haruo Tanaka
 Minoru Chiaki
Michael Redgrave
 Richard Wattis
 Michael Denison
John Payne
 Preston Foster
 Neville Brand
Alec Guinness
 Sidney James
 Alfie Bass
 Claire Bloom
 Buster Keaton
 Cecil Parker
 Michael Gough
 Julie Harris
 Brandon De Wilde
Charles McGraw
 Jacqueline White
 Gordon Gebert
 Aldo Ray
 William Ching
Shelley Winters
 Michael Rennie
 Tom Tully
Stewart Granger
 Eleanor Parker
 Janet Leigh
 Mel Ferrer
 Donald O'Connor
 Debbie Reynolds
 Hildegard Knef
Micheál MacLiammóir
 Robert Coote
 Suzanne Cloutier
Carlo Battisti
 Maria Pia Casilio
 Lina Gennari
 Ileana Simova
Peter Lind Hayes
 Mary Healy
 Hans Conried
 Tommy Rettig
 Cyd Charisse
 Nanette Fabray
Glenn Ford
 Jocelyn Brando
 Alexander Scourby
Anne Baxter
 Raymond Burr
 Rosemary DeCamp
 Allyn Ann McLerie
 Philip Carey
Carmilla Salvatorelli
 Deborah Kerr
Jane Russell
 Elliott Reid
 Timothy Farrell
 Dolores Fuller
 William Talman
 José Torvay
Vincent Price
 Phyllis Kirk
 Carolyn Jones
 David Wayne
Richard Carlson
 Barbara Rush
 Joe Sawyer
 Danielle Darrieux
 Vittorio De Sica
 Jean Debucourt
 Grace Kelly
 Donald Sinden
Marilyn Monroe
 Jean Peters
 Max Showalter
 Kathryn Beaumont
 Bill Thompson
 Thelma Ritter
 Murvyn Vye
Richard Burton
 Jean Simmons
 Audrey Hepburn
 Hartley Power
Yves Montand
 Charles Vanel
 Folco Lulli
 Peter van Eyck
Harriet Andersson
 Lars Ekborg
 Dagmar Ebbesen
 Åke Fridell
 Otto Preminger
 Robert Strauss
 Gina Lollobrigida
 Robert Wagner
 Audrey Dalton
 Chieko Higashiyama
Machiko Kyô
 Mitsuko Mito
 Kinuyo Tanaka
Jacques Tati
 Louis Pérault
 André Dubois
 Lucien Frégis
Franco Interlenghi
 Alberto Sordi
 Franco Fabrizi
Gene Barry
 Ann Robinson
 Les Tremayne
 James Mason
 John McIntire
 Charles Bronson
 Marius Goring
 Van Johnson
 Elaine Stewart
 José Ferrer
 Fred MacMurray
Harry Belafonte
 Dorothy Dandridge
 Pearl Bailey
 Olga James
 Anthony Ross
 Julie Adams
 Richard Denning
 Antonio Moreno
 Ursula Jeans
 Charles Carson
 Stanley Van Beers
Simone Signoret
 Véra Clouzot
 Paul Meurisse
 John Williams
 June Allyson
 Dorothy Malone
 Bruce Carlisle
 Harry Morgan
Akira Takarada
 Momoko Kôchi
 Akihiko Hirata
 Brenda de Banzie
 Daphne Anderson
Samson De Brier
 Marjorie Cameron
 Joan Whitney
 Katy Kadell
 Sterling Hayden
 Mercedes McCambridge
Elizabeth Taylor
 Rock Hudson
 Rod Steiger
 Debra Paget
 Walter Hampden
 Rentarô Mikuni
 Kurôemon Onoe
 Kaoru Yachigusa
Kinuyo Tanaka
 Yoshiaki Hanayagi
 Kyôko Kagawa
 Eitarô Shindô
Howard Keel
 Jeff Richards
 Russ Tamblyn
 Tommy Rall
 Keiko Tsushima
 Yukiko Shimazaki
Anthony Quinn
 Richard Basehart
 Aldo Silvani
 Nancy Gates
James Whitmore
 Joan Weldon
 James Arness
Ethel Merman
 Dan Dailey
Jeff Morrow
 Faith Domergue
 Rex Reason
 Lance Fuller
 Danny Kaye
 Rosemary Clooney
 Vera-Ellen
 Mary Murphy
 Robert Keith
 Lee Marvin
 Michael Ansara
 Shirley MacLaine
 Anne Francis
 Dean Jagger
Van Heflin
 Mona Freeman
Steve Allen
 Berta Gersten
 Barry Truex
Cornel Wilde
 Jean Wallace
Jack Palance
 Margaret Hayes
Isabelle Corey
 Daniel Cauchy
 Roger Duchesne
 Guy Decomble
 Tor Johnson
 Tony McCoy
 Loretta King
Fess Parker
 Basil Ruysdael
Jean Servais
 Carl Möhner
 Robert Manuel
 Janine Darcey
Julie Harris
 James Dean
 Burl Ives
 Corinne Calvet
 Jeff Chandler
 Dianne Foster
 Diana Lynn
Frank Silvera
 Jamie Smith
 Irene Kane
 Jerry Jarrett
 Ann Blyth
 Dolores Gray
 Vic Damone
Ralph Meeker
 Paul Stewart
 Juano Hernandez
Peggy Lee
 Larry Roberts
 Bill Baucom
 Herbert Lom
 Peter Sellers
Martine Carol
 Peter Ustinov
 Anton Walbrook
 Henri Guisol
 Isobel Elsom
 Kim Novak
 Arnold Stang
Esther Minciotti
 Augusta Ciolli
